index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2021,"@dwiniadrza_ ?????????? melipir kebawah wi, ada eskrim bebek peking. Yok kita buat eskrim bebek entok punya atok ??????",tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak melipir bawah wi eskrim bebek peking yuk eskrim bebek entok atok tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'melipir', 'bawah', 'wi', 'eskrim', 'bebek', 'peking', 'yuk', 'eskrim', 'bebek', 'entok', 'atok', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,44
2,2024,@hanz.perdana ?????????? mau sponsori sini ??????,perdana tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak sponsor tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['perdana', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'sponsor', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,42
3,2021,"Saya suka kamu @siscakohl karena hasil karya senimu ,, Pantas saja harga nya mahal , karena harga sebuah SENI itu adalah tak terbatas nominal ,,, jadi wajar aja setiap konten masakan mu harga nya mahal sebanding dengan karya seni kreatif mu yg diluar nalar manusia normal dan hanya kmu yang berani mencoba nyaa,,. Calooon sukses dan Pamooor nya makin tinggi di dunia sosmed ini,, ????????????????????",suka hasil karya seni harga nya mahal harga seni batas nominal wajar konten masakan mu harga nya mahal banding karya seni kreatif mu luar nalar manusia normal berani coba nya caloon sukses pamoor nya dunia sosmed tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan api api api api api,"['suka', 'hasil', 'karya', 'seni', 'harga', 'nya', 'mahal', 'harga', 'seni', 'batas', 'nominal', 'wajar', 'konten', 'masakan', 'mu', 'harga', 'nya', 'mahal', 'banding', 'karya', 'seni', 'kreatif', 'mu', 'luar', 'nalar', 'manusia', 'normal', 'berani', 'coba', 'nya', 'caloon', 'sukses', 'pamoor', 'nya', 'dunia', 'sosmed', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'api', 'api', 'api', 'api', 'api']",positif,37
4,2021,@ayurayu_ demi allah ngakak??????????????,allah akak wajah menang keras tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['allah', 'akak', 'wajah', 'menang', 'keras', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,34
5,2021,"Syukuri aja nikmat Allah, insyaallah Allah akan memberi kita nikmat yang banyak????",syukur nikmat allah insyaallah allah nikmat wajah senyum dengan mata bahagia tangan angkat dan rapat sama,"['syukur', 'nikmat', 'allah', 'insyaallah', 'allah', 'nikmat', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,30
6,2022,"Ya Alloh. Scroll dari latest postingan @siscakohl sampe postingan ini, lgsg follow. Sederhana ga neko neko banget orangnya, sopan, tau tata krama, tau cara memperlakukan suami, Pinter lagi. Bersyukur dikasih lihat sama wanita hebat begini sama Allah. Aku yg cewe aja senyam senyum liat dia. Semoga sehat selalu @siscakohl ??",ya allah scrol latest postingan postingan langsung follow sederhana neko neko banget orang sopan tau tata krama tau laku suami pintar syukur kasih lihat wanita hebat allah cewek senyam senyum lihat moga sehat hati merah,"['ya', 'allah', 'scrol', 'latest', 'postingan', 'postingan', 'langsung', 'follow', 'sederhana', 'neko', 'neko', 'banget', 'orang', 'sopan', 'tau', 'tata', 'krama', 'tau', 'laku', 'suami', 'pintar', 'syukur', 'kasih', 'lihat', 'wanita', 'hebat', 'allah', 'cewek', 'senyam', 'senyum', 'lihat', 'moga', 'sehat', 'hati', 'merah']",positif,30
7,2022,Alhamdulillah ada 1 kesamaan sama sisca. Makan mie pake nasi ???????? beda nya dia biar gak kepedesan lah gua biar kenyang ??,alhamdulillah sama sisca makan mie pakai nasi tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak beda nya biar kepedesan gua biar kenyang wajah menang keras,"['alhamdulillah', 'sama', 'sisca', 'makan', 'mie', 'pakai', 'nasi', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'beda', 'nya', 'biar', 'kepedesan', 'gua', 'biar', 'kenyang', 'wajah', 'menang', 'keras']",positif,30
8,2022,Ngakak pas bagian ?Belibettt? ??????????,akak pas belibet tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['akak', 'pas', 'belibet', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,28
9,2023,Akhirnya ada produk yang bisa samaan dengan sisca ??????????,produk sama sisca tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak wajah senyum dengan hati,"['produk', 'sama', 'sisca', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'wajah', 'senyum', 'dengan', 'hati']",positif,27
10,2021,"Seketika cengo gw liat nya , pas udh jadi langsung ngakak ??????@hlwaaaaaaa",cengo gue lihat nya pas langsung akak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['cengo', 'gue', 'lihat', 'nya', 'pas', 'langsung', 'akak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,24
