,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2024,Happy birthday bang willie semoga sehat selalu ????????????????????????,happy birthday bang willie moga sehat party popper party popper party popper party popper tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama wajah pesta wajah pesta wajah pesta,"['happy', 'birthday', 'bang', 'willie', 'moga', 'sehat', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,50
2,2024,"Happy birthday bg wilie semoga sehat selalu,di tambahkan rezekinyaa,berbakti kepada kedua orang tua semoga sehat sll bg wilie???????? sekali lagi hbd bg wilie semoga kepilih amminn????",happy birthday bang wilie moga sehat tambah rezeki bakti orang tua moga sehat sl bang wilie wajah pesta tangan angkat dan rapat sama party popper angkat tangan hbd bang wilie moga pilih amin tangan angkat dan rapat sama tangan angkat dan rapat sama,"['happy', 'birthday', 'bang', 'wilie', 'moga', 'sehat', 'tambah', 'rezeki', 'bakti', 'orang', 'tua', 'moga', 'sehat', 'sl', 'bang', 'wilie', 'wajah', 'pesta', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'party', 'popper', 'angkat', 'tangan', 'hbd', 'bang', 'wilie', 'moga', 'pilih', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,45
3,2024,"Semoga sukses selalu dan sehat selalu sekeluarga,, dan sama kejenjang pernikahan, aamiin aamiin aamiin ?????????? ya Allah ya robalalaminnnn",moga sukses sehat keluarga jenjang nikah amin amin amin tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama ya allah ya robalalamin,"['moga', 'sukses', 'sehat', 'keluarga', 'jenjang', 'nikah', 'amin', 'amin', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'ya', 'allah', 'ya', 'robalalamin']",positif,37
4,2024,Meriah buanget??????????????,riah banget wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta,"['riah', 'banget', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,31
5,2024,"Happy birthday kak willy semoga panjang umur sehat selalu untuk sekeluarga , sehat sehat juga untuk kak vilmei aminn mamah nya juga yah kak aminnn??????????",happy birthday kak willy moga umur sehat keluarga sehat sehat kak vilmei amin mamah nya ya kak amin tangan angkat dan rapat sama tangan angkat dan rapat sama wajah senyum dengan hati wajah senyum dengan hati wajah senyum dengan hati,"['happy', 'birthday', 'kak', 'willy', 'moga', 'umur', 'sehat', 'keluarga', 'sehat', 'sehat', 'kak', 'vilmei', 'amin', 'mamah', 'nya', 'ya', 'kak', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati']",positif,31
6,2024,"Mau donk KK,,,hpku sdh aku pasangin karet2 ini bismillah ??,,,,, HAPPY BIRTHDAY YA KAK WILLIE SEMOGA PANJANG UMUR DAN DIMURAHKAN LAGI REJEKINYA SAMA YG KUASA ????",hpku pasangin karet bismillah tangan angkat dan rapat sama happy birthday ya kak willie moga umur murah rejekinya kuasa wajah pesta tepuk tangan,"['hpku', 'pasangin', 'karet', 'bismillah', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'happy', 'birthday', 'ya', 'kak', 'willie', 'moga', 'umur', 'murah', 'rejekinya', 'kuasa', 'wajah', 'pesta', 'tepuk', 'tangan']",positif,30
7,2024,"Y Allah trimakasih kak Willi, sudah memberikan kebahagiaan pd mereka, semoga KK selalu sehat, dn diberikan Rezki yg lebih oleh Allah SWT ??",ya allah trimakasih kak willi bahagia moga sehat rezeki allah swt tangan angkat dan rapat sama,"['ya', 'allah', 'trimakasih', 'kak', 'willi', 'bahagia', 'moga', 'sehat', 'rezeki', 'allah', 'swt', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,29
8,2023,Kapan ya bisa dapat rezeki dr Willie Salim....sehat selalu'panjang umur rezekinya semakin berlimpah..tetaplah jd orng baik..membantu yg membutuhkan..??????????????,ya rezeki willie salim sehat selalupanjang umur rezeki limpah tetap orang bantu butuh tangan angkat dan rapat sama tangan angkat dan rapat sama lipat tangan lipat tangan jempol ke atas wajah senyum dengan hati wajah senyum dengan hati,"['ya', 'rezeki', 'willie', 'salim', 'sehat', 'selalupanjang', 'umur', 'rezeki', 'limpah', 'tetap', 'orang', 'bantu', 'butuh', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan', 'lipat', 'tangan', 'jempol', 'ke', 'atas', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati']",positif,27
9,2024,"Happy birthday kak willie salim,semoga panjang umut bng sehat selalu,amin????",happy birthday kak willie salim moga umut bang sehat amin tangan angkat dan rapat sama tangan angkat dan rapat sama,"['happy', 'birthday', 'kak', 'willie', 'salim', 'moga', 'umut', 'bang', 'sehat', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,27
10,2023,Halo KK Willie salim smg sehat pajang umur sllu bagia sukses sllu amin ya robbl Al-Amin ?????????????????????????????????????????????????,halo willie salim moga sehat pajang umur bagia sukses amin ya robbl alamin lipat tangan lipat tangan hati hati jempol ke atas jempol ke atas jempol ke atas lipat tangan lipat tangan hati jempol ke atas lipat tangan hati lipat tangan jempol ke atas lipat tangan hati lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan,"['halo', 'willie', 'salim', 'moga', 'sehat', 'pajang', 'umur', 'bagia', 'sukses', 'amin', 'ya', 'robbl', 'alamin', 'lipat', 'tangan', 'lipat', 'tangan', 'hati', 'hati', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'lipat', 'tangan', 'hati', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'hati', 'lipat', 'tangan', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'hati', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,26
