index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2021,Semoga ka   dapat rejeki banyakk amin????????????????????,moga kak rejeki amin wajah malaikat tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama,"['moga', 'kak', 'rejeki', 'amin', 'wajah', 'malaikat', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,50
2,2024,Happy birthday bang willie semoga sehat selalu ????????????????????????,happy birthday bang willie moga sehat party popper party popper party popper party popper tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama wajah pesta wajah pesta wajah pesta,"['happy', 'birthday', 'bang', 'willie', 'moga', 'sehat', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'party', 'popper', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,50
3,2024,"Happy birthday bg wilie semoga sehat selalu,di tambahkan rezekinyaa,berbakti kepada kedua orang tua semoga sehat sll bg wilie???????? sekali lagi hbd bg wilie semoga kepilih amminn????",happy birthday bang wilie moga sehat tambah rezeki bakti orang tua moga sehat sl bang wilie wajah pesta tangan angkat dan rapat sama party popper angkat tangan hbd bang wilie moga pilih amin tangan angkat dan rapat sama tangan angkat dan rapat sama,"['happy', 'birthday', 'bang', 'wilie', 'moga', 'sehat', 'tambah', 'rezeki', 'bakti', 'orang', 'tua', 'moga', 'sehat', 'sl', 'bang', 'wilie', 'wajah', 'pesta', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'party', 'popper', 'angkat', 'tangan', 'hbd', 'bang', 'wilie', 'moga', 'pilih', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,45
4,2022,Happy birthday ci Vilmei semoga panjang umur dan sehat selalu yang dan rezeki nya lancar ???? happy birthday princess cantik ci  Vilmei??????????????????,happy birthday ci vilmei moga umur sehat rezeki nya lancar tepuk tangan tepuk tangan happy birthday princes cantik ci vilmei tepuk tangan angkat tangan tepuk tangan tepuk tangan wajah senyum lebar mata hati wajah senyum lebar mata hati angkat tangan angkat tangan hati merah,"['happy', 'birthday', 'ci', 'vilmei', 'moga', 'umur', 'sehat', 'rezeki', 'nya', 'lancar', 'tepuk', 'tangan', 'tepuk', 'tangan', 'happy', 'birthday', 'princes', 'cantik', 'ci', 'vilmei', 'tepuk', 'tangan', 'angkat', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'angkat', 'tangan', 'angkat', 'tangan', 'hati', 'merah']",positif,43
5,2024,"Semoga sukses selalu dan sehat selalu sekeluarga,, dan sama kejenjang pernikahan, aamiin aamiin aamiin ?????????? ya Allah ya robalalaminnnn",moga sukses sehat keluarga jenjang nikah amin amin amin tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama ya allah ya robalalamin,"['moga', 'sukses', 'sehat', 'keluarga', 'jenjang', 'nikah', 'amin', 'amin', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'ya', 'allah', 'ya', 'robalalamin']",positif,37
6,2020,Bismillah yaa allah pengen dapet Iphone dari kak willi pengen banget juga ketemu orangnya tapi posisi aku kerja aaisten rumah tangga gabisa keluar hihi senangat buat ka willi ya fimudhkn rezeki nya pnjngkn umurnya aminnn selalu berbagi sesama manusia yang tidak mampu aminn sehat selalu ka Willi kalo allah ijinkan mungkin kita bisa dipertemukann hihi aku di bekasi ka lagi kerja asli aku dari lampung aku ngerantau hihi salam kenal ya ka willi?????? maaf ya ka kalau aku sudah lancang nge bomlike ig kaka dan komen hihi maaf seribu maaf ya kaa ini aku komen di status kaka karna aku sudah nge like sampe bawah sini hihi????????,bismillah ya allah pengin iphone kak willi pengin banget ketemu orang posisi kerja aaisten rumah tangga hihi semangat kak willi ya fimudhkn rezeki nya pnjngkn umur amin bagi manusia amin sehat kak willi kalo allah ijinkan temu hihi bekas kak kerja asli lampung ngerantau hihi salam kenal ya kak willi lipat tangan lipat tangan wajah senyum dengan mata bahagia maaf ya kak lancang nge bomlike ig kakak komen hihi maaf ribu maaf ya kak komen status kakak nge like hihi isyarat menang wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia lipat tangan,"['bismillah', 'ya', 'allah', 'pengin', 'iphone', 'kak', 'willi', 'pengin', 'banget', 'ketemu', 'orang', 'posisi', 'kerja', 'aaisten', 'rumah', 'tangga', 'hihi', 'semangat', 'kak', 'willi', 'ya', 'fimudhkn', 'rezeki', 'nya', 'pnjngkn', 'umur', 'amin', 'bagi', 'manusia', 'amin', 'sehat', 'kak', 'willi', 'kalo', 'allah', 'ijinkan', 'temu', 'hihi', 'bekas', 'kak', 'kerja', 'asli', 'lampung', 'ngerantau', 'hihi', 'salam', 'kenal', 'ya', 'kak', 'willi', 'lipat', 'tangan', 'lipat', 'tangan', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'maaf', 'ya', 'kak', 'lancang', 'nge', 'bomlike', 'ig', 'kakak', 'komen', 'hihi', 'maaf', 'ribu', 'maaf', 'ya', 'kak', 'komen', 'status', 'kakak', 'nge', 'like', 'hihi', 'isyarat', 'menang', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'lipat', 'tangan']",positif,35
7,2021,"Emang luar biasa nih orang ????Bermanfaat untuk semua orang, berkah dan dilancarkan selalu rezeki, dan selalu dalam lindungan Tuhan yang maha esa, saya mau ikutin jejak abangda ini supaya bisa bermanfaat untuk semua orang, sekali lagi terima kasih orang-orang baik ????",nih orang jempol ke atas lipat tangan manfaat orang berkah lancar rezeki lindung tuhan maha esa ikut jejak abangda manfaat orang terima kasih orangorang jempol ke atas lipat tangan,"['nih', 'orang', 'jempol', 'ke', 'atas', 'lipat', 'tangan', 'manfaat', 'orang', 'berkah', 'lancar', 'rezeki', 'lindung', 'tuhan', 'maha', 'esa', 'ikut', 'jejak', 'abangda', 'manfaat', 'orang', 'terima', 'kasih', 'orangorang', 'jempol', 'ke', 'atas', 'lipat', 'tangan']",positif,35
8,2021,Kak Willie baik  banget semoga segala kebaikan kak Willie di ganti yang lebih banyak lagi dan semoga kebaikan kak Willie selalu berkah Barokah bermanfaat buat orang lain???? pengen banget bisa ketemu kak Willie ????  ,kak willie banget moga baik kak willie ganti moga baik kak willie berkah barokah manfaat orang tangan angkat dan rapat sama tangan angkat dan rapat sama pengin banget ketemu kak willie wajah pesta wajah pesta,"['kak', 'willie', 'banget', 'moga', 'baik', 'kak', 'willie', 'ganti', 'moga', 'baik', 'kak', 'willie', 'berkah', 'barokah', 'manfaat', 'orang', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'pengin', 'banget', 'ketemu', 'kak', 'willie', 'wajah', 'pesta', 'wajah', 'pesta']",positif,34
9,2024,Meriah buanget??????????????,riah banget wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta wajah pesta,"['riah', 'banget', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta', 'wajah', 'pesta']",positif,31
10,2024,"Happy birthday kak willy semoga panjang umur sehat selalu untuk sekeluarga , sehat sehat juga untuk kak vilmei aminn mamah nya juga yah kak aminnn??????????",happy birthday kak willy moga umur sehat keluarga sehat sehat kak vilmei amin mamah nya ya kak amin tangan angkat dan rapat sama tangan angkat dan rapat sama wajah senyum dengan hati wajah senyum dengan hati wajah senyum dengan hati,"['happy', 'birthday', 'kak', 'willy', 'moga', 'umur', 'sehat', 'keluarga', 'sehat', 'sehat', 'kak', 'vilmei', 'amin', 'mamah', 'nya', 'ya', 'kak', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati', 'wajah', 'senyum', 'dengan', 'hati']",positif,31
