,index,Tahun,Comments,preprocessed
0,0,2023,Joker iwak peyek,joker iwak peyek
1,1,2023,KA saya mau dong,kak
2,2,2023,Abang  ,abang
3,3,2023,Ka   aku udah follow. Pengen hadiah serba merah dong kak ❤️🫰🙏🙏🙏,kak follow pengin hadiah serba merah kak hati merah lipat tangan lipat tangan lipat tangan
4,4,2023,Aku sering ke puri mall tapi gak pernah ketemu k riccienick ataupun ka willy😢,puri mal ketemu riccienick kak willy wajah menang
5,5,2023,Bagi uangnya kak 200k   🙏,uang kak k lipat tangan
6,7,2023,  semoga yang di harapkan terkabulkan amin..,moga harap kabul amin
7,8,2023,"  kaa aku udh paket lengkap,cita cita pengen kebeli iphone,tapi ga kebeli kebeli",kak paket lengkap cita cita pengin kebel iphone kebel kebel
8,9,2023,Sudah paket lengkap.. semoga yang di harapkan terkabulkan amin,paket lengkap moga harap kabul amin
9,10,2023,Kukira di blkang e ada kak willie salim,kira e kak willie salim
10,11,2023,Seneng ngiliatnya para yutuber,senang ngiliatnya yutuber
11,12,2023,Semoga Rezekinya Nularr Aaminnn 🤲,moga rezeki nular amin tangan angkat dan rapat sama
12,13,2023,Awal Agustus semoga dapet transfer an soalnya uang didana tinggal seribu rupiah,agustus moga transfer an uang dana tinggal ribu rupiah
13,14,2023,"Salam kenal dr palopo Sulawesi selatan,semoga dpt rejeki dr kak amin3x ya allah",salam kenal palopo sulawesi selatan moga rejeki kak aminx ya allah
14,16,2023,Bg coba beli semangka tapi sepotong aja😂 TF 1jt bg buat berobat adik ku:(,bang coba beli semangka potong wajah gembira urai air mata tf jt bang obat adik ku
15,17,2023,Semoga bisa punya rejeki lebih biar bisa kaya kak    sehat selalu orang baik semoga komen ku dibaca ya kak,moga rejeki biar kayak kak sehat orang moga komen ku baca ya kak
16,18,2023,Yg belakang wiliiiz😍,wiliiz wajah senyum lebar mata hati
17,19,2023,Bang beli mie kocok tapi togenya aja 1 pake kuahnya kasih sambel 3 sendok. Tf 900 yaa 😁🤭😁,bang beli mie kocok toge pakai kuah kasih sambel sendok tf ya wajah gembira dengan mata bahagia wajah dengan tangan tutup mulut wajah gembira dengan mata bahagia
18,20,2023,"  koh pengen ditraktir juga koh.. pengen beli baju buat mybaby yg baru lahir 😇 Uda follow semua akun dr ig, tiktok dan ytube😅🙏",koh pengin traktir koh pengin beli baju mybaby lahir wajah malaikat follow akun ig tiktok ytube wajah senyum lebar dan keringat lipat tangan
19,21,2023,"Para Yutuber"" Indonesia berkumpul di Mall",yutuber indonesia kumpul mal
20,22,2023,Awal Bulan Agustus semoga dpt traktiran dari Ko    🤩🤩🤩,agustus moga traktir wajah dengan mata bentuk bintang wajah dengan mata bentuk bintang wajah dengan mata bentuk bintang
21,23,2023,bang yudist hokii banget!!,bang yudist hoki banget
22,24,2023,Ka mau minta bantuan buat bayar uang semesteran kuliah anak saya saat ini syvlg tidak bekerja,kak bantu bayar uang semester kuliah anak syvlg
23,25,2023,  kl pake ilmuku nanti dibilang curang…😢,kalo pakai ilmu bilang curang wajah menang
24,26,2023,"  Wah saya jadi pengen coba,makasih infonya mba nanti saya coba DM adminnya  .slim.id_",pengin coba terima kasih info mbak coba dm adminnya slimid
25,27,2023,"  Relate bngt mba, saya di saranin sama temenku pake produk  .slim.id_ hasilnya badannya jadi body goals abis btw saya punya maag tapi ini nggak ngaruh sama sekali jadi aman dan tanpa efek samping mba😁",relate banget mbak saran temenku pakai produk slimid hasil badan body goals habis btw maag ngaruh aman efek samping mbak wajah gembira dengan mata bahagia
26,28,2023,"  Iya kak bisa, kebetulan saya juga ngga bisa olahraga rutin saya orangnya mageran,tapi alhamdulillah bisa turun Bb saya 6 kg saya pake produk herbal dari  .slim.id_ udah gitu di kasih bimbingan juga kak",iya kak olahraga rutin orang mageran alhamdulillah turun b kg pakai produk herbal slimid kasih bimbing kak
27,29,2023,  Seriusan mba? bisa ngilangin perut buncit?,serius mbak hilang perut buncit
