,Tahun,Comments,preprocessed,,
1,2020,sisca gaada niatan buat kandang ayam modern gitu? nanti kontak2 ke aku biar aku bantu kenalin dan jelasin,sisca niat kandang ayam modern kontakkontak biar bantu kenal jelasin,,
2,2020,@bintarikarina emangnya kamu (?) masak rendang aja 3 hari 3 malem... awowkwkwkw,memang masak rendang malam awowkwkwkw,,
3,2020,Sisca kalo cebok dicebokin mesin apa sendiri?,sisca kalo cebok dicebokin mesin,,
4,2020,Pamer2 begitu bapak dan emak kamu gak risih ya,pamer emak risih ya,,
5,2020,@zxywvutsrq00 dia bocil beb.. bocil komen  wkwkw,bocil beb bocil komen wkwkw,,
6,2020,"@bintarikarina yg gak pahaam sittu, gak tau medium well sm medium rare ya??? asal wae ngmong ga bisa masak.. sittu yg ga paham.. taunya gosong?? apa gimana??",pahaam sittu tau medium wel medium rare ya wae ngmong masak sittu paham tau gosong,,
7,2020,@fajar_gumanty bitter ???,bitter,,
8,2020,Dan orng jaman sekarang atau makanan tradusional orang dulu,orang jaman makan tradusional orang,,
9,2020,Makaknann teradisional dong biar ingit jaman dulu,makaknan adisional biar ingit jaman,,
10,2020,Btw judul lagunya apa ya ini ?,btw judul lagu ya,,
11,2020,Wow? mahal sekali abri badi,wow mahal abri badi,,
12,2020,diace hardware ni mesin 10 jt,diace hardware nih mesin juta,,
13,2020,baiuh 55 jt,baiuh juta,,
14,2020,"@ulyaa09 dgn maskawin alat gril di bayar cicil,",maskawin alat gril bayar cicil,,
15,2020,"@zxywvutsrq00 hhhhhha ?gatau dia medium rare,rare medium, taunya gosong",hha tau medium rare rare medium tau gosong,,
16,2020,@zxywvutsrq00 haha. Balik lagi ke bahan dagingnya. ?,haha bahan daging,,
17,2020,"@bintarikarina wkwk orang miskin mana ngerti yang namanya medium rare, taunya well done sama overcook doang?",wkwk orang miskin erti nama medium rare tau wel done overcook doang,,
18,2020,mateng merata katanya orang dalemnya merah gitu nggak bisa masak bilang??,mateng rata orang dalem merah masak bilang,,
19,2020,sng umahe sek pawon mundur,sng umahe sek pawon mundur,,
20,2020,Matangnya merata...*gua yg liat dalemnya mentah ?,matang rata gua lihat dalem mentah,,
21,2020,@kesyakuu16_ BERULAH KOE RUAA??,ulah koe rua,,
22,2020,@thomaskurniawan28 saya tidak mendoakan... Saya hanya meng umpamakan.. Liat baik baik kata kata saya om...,doa meng umpama lihat om,,
23,2020,@fajar_gumanty hati2 saja doa jelek bisa kembali ke pemilik nya,hatihati doa jelek milik nya,,
24,2020,@thomaskurniawan28 ? memang bner ko tertulis jelas di kitab suci.. ... Iri sih pasti.. Tapi saya ngga dengki,tulis kitab suci iri sih dengki,,
25,2020,Siska kalo kentut wangi kali ya bukan bauuu ....,siska kalo kentut wangi kali ya bau,,
26,2020,@fajar_gumanty lu iri atau gmn sih? Pakai bawa2 Firaun lagi,lu iri sih pakai bawabawa firaun,,
27,2020,@gxjrx  halah firaun aja bisa bangkrut tuh ???... .. Qorun juga bangkrut.. ???,halah firaun bangkrut tuh qorun bangkrut,,
28,2020,@fajar_gumanty bangkrut yakali ortunya juragan sembako di kampung ? wong ini anak sering bolak balik liburan ke luar negeri udah pasti bisnis ortunya juga ga main2 invest sana sini duitnya kaga abis2 coy,bangkrut yakali orang tua juragan sembako kampung anak bolak libur negeri bisnis orang tua mainmain invest duit kagak habishabis coy,,
29,2020,@cempakayk sory lu ntn aja ?,sory lu tonton,,
30,2020,@robyrusdiantoo ?.. Bukan tolak ukur... Kepastian.. Fir'aun aja bangkrut,tolak ukur pasti firaun bangkrut,,
31,2020,@fajar_gumanty pamannya aja orang kaya no 18 dunia jer,paman orang kayak no dunia jer,,
32,2020,@iyankayy nanti aq beliin ini yaaa biar qm semangat masaknya....55.ooo check ?,belikan ya biar semangat masak o check,,
33,2020,@mq_r282 iya anak nya kaya karna ortunya.. ?,iya anak nya kayak orang tua,,
34,2020,"@fajar_gumanty Kalo anak nya udh kaya bnget buat kita, orang tuanya apa lagi?",kalo anak nya kayak banget orang tua,,
35,2020,Auto pingsan njir,auto pingsan anjir,,
36,2020,Review mesin ???,review mesin,,
37,2020,Orang tuanya bangkrut. ..pasti nangis?,orang tua bangkrut menang,,
38,2020,siscakohl hrs ikutan mastercep dongs,siscakohl ikut mastercep dongs,,
39,2020,Salfok sama gelasnyaaa dahh ?,salah fokus gelas deh,,
40,2020,@dhinachi mun kita jelas kada,mun kada,,
41,2020,@haidaraji_ Duek e gak entek entek,duek e entek entek,,
42,2020,@anna_ryana31 tamakan jua kh daging msih merah kyitu,tamak jua kah daging merah kyitu,,
43,2020,@dhinachi fokus k warna cantik daging nya pink k merahan?,fokus warna cantik daging nya pink merah,,
44,2020,@sabila8091 aku suka sekali?,suka,,
45,2020,@inigisss29  mari kita coba,mari coba,,
46,2020,@mardethe_ ngeremehin listrik sultan lu bang?mau pln nya dibeli sekalian??,ngeremehin listrik sultan lu bang pln nya beli,,
47,2020,@raihanfirdaus712 ngakak bang?,akak bang,,
48,2020,@ronaaldii ya kali aja ada... kan banyak manusia...,ya kali manusia,,
49,2020,duitnya ga abis abis dah,duit habis habis deh,,
50,2020,Gw yang masih make mejikom buat masak mie be like: dah lah,gue pakai mejikom masak mie be like deh,,
51,2020,@ff_reeffir_e69 mana ada org miskin jirr kawasan PIK,orang miskin jir kawasan pik,,
52,2020,@ff_reeffir_e69 di perumahan mewah kaya di PIK pemulung kaga boleh masuk komplek perumahan bang ? ojol yang nganterin gofood paling kasta terendah disana ? keluarga saya ada yang ojol alhamdulillah engga susah kalau cuma sekedar makan ?,rumah mewah kayak pik pulung kagak masuk komplek rumah bang ojol antar gofood kasta rendah sana keluarga ojol alhamdulillah susah dar makan,,
53,2020,"? mantap2 kapan2 deh aq beli buat masak di rumah,smentara pake kompor miyako dulu gas melon 3kg",mantap kapankapan deh beli masak rumah pakai kompor miyako gas melon kg,,
54,2020,@sudutlampung_com wkwkwk kasih paham !!!,wkwkwk kasih paham,,
55,2020,Mari kita pukul wkwk,mari wkwk,,
56,2020,@sudutlampung_com wkwk siapa tau kan klo ada gimana bang?,wkwk tau kalo bang,,
57,2020,Ginjal ku bergejolak cek,ginjal ku gejolak cek,,
58,2020,"@ff_reeffir_e69 dia tinggal di komplek perumahan mewah, kaga ada orang miskin di sekitarnya",tinggal komplek rumah mewah kagak orang miskin,,
59,2020,Mampus lo 55jt njir,mampus lo jt anjir,,
60,2020,@ayukris_02 mari kita cobaaa??,mari coba,,
61,2020,Gatau orang di sekitarnya gimana susahnya nyari makan ya... hehe...,tau orang susah cari makan ya hehe,,
62,2020,Aku masak daging aja di panggangan kompor?,masak daging panggang kompor,,
63,2020,Kerja keras biar bisa makan steak tiap hari @irfaneknnda,kerja keras biar makan steak,,
64,2020,@bajubarong.etnik.daster dikepoin*,etnikdaster poin,,
65,2020,"Kami jual baju barong yg dipakai Sisca Kohl ya kak, silakan dikepom ?",jual baju barong pakai sisca kohl ya kak sila dikepom,,
66,2020,Iki omah opo restoran wkwkkw,iki omah opo restoran wkwkkw,,
67,2020,@kanittiga DIHHH ADA AKUN BODONGGGG,dih akun bodong,,
68,2020,Gak jeglek tuh listriknya ya?,jeglek tuh listrik ya,,
69,2020,Nada video siscakohl lebih asik dari pada nada suara adeknya tau cit @citracidel,nada video siscakohl asik nada suara adeknya tau cit,,
70,2020,Plisss next nya review mobil TESLA buat temenku ini @jessica.claudia,plis next nya review mobil tesla temenku claudia,,
71,2020,"Abis makan nih, pas mau PUP rasa rasa sayang gitu. Soalnya harga yg di makan mahal mahal semua?",habis makan nih pas pup sayang harga makan mahal mahal,,
72,2020,@hafizhmhmmd_17 400juta ?,juta,,
73,2020,Ngilerrr gua ?,ngiler gua,,
74,2020,Aowkwkwkwk Aseng berulah,aowkwkwkwk aseng ulah,,
75,2020,Anajay cantik bener bismillah 5 juta?,anajay cantik bismillah juta,,
76,2020,@theresiamargarethaa diem aja deh china miskin,diam deh china miskin,,
77,2020,@hafzaifa bisa jadi karna bapaknya dia ngerantau ke indonesia. Trs dia emg dari lahir disini. Orang2 chinese kan suka ngerantau2. Gatau juga sih kebetulan aku bukan sodaranya sisca :")),bapak ngerantau indonesia lahir orangorang chinese suka ngerantau tau sih sodaranya sisca,,
78,2020,"@kariskaptr maksudnya mereka kan ngomong indo lancar banget, yg punya tencent bukannya murni cina?",maksud omong indonesia lancar banget tencent murni cina,,
79,2020,@hafzaifa lah emang dari tampangnya sisca kohl orang mana? Arab???,tampang sisca kohl orang arab,,
80,2020,@kariskaptr seriusan dia keponakan CEO tencent? Yg punya tencent kan org cina (?),serius keponakan ceo tencent tencent orang cina,,
81,2020,Ayoo bangun. Ayo bangun... Kerja kerja kerja.. Jgn nge halu mulu wkwkwkw . Punya grille 50jt . Tanpa kerja,ayo bangun ayo bangun kerja kerja kerja nge halu mulu wkwkwkw grille jt kerja,,
82,2020,@adit.praatama wanjayy... Serem beud cemilannya ??,praatama wanjay seram banget cemilannya,,
83,2020,Daging nya masoh mntah,daging nya masoh mntah,,
84,2020,Bikin yang chimmy ci,bikin chimmy ci,,
85,2020,Tata cimi sisca plis????,tata cimi sisca plis,,
86,2020,Koya plis,koya plis,,
87,2020,Ka bikin cimi ka??,kak bikin cimi kak,,
88,2020,Ka him in dan Kota ka,kak him kota kak,,
89,2020,kakk baless dm saya dong ?,kak balas dm,,
90,2020,Yang kuning sama yang biru kak,kuning biru kak,,
91,2020,Chimmy dan koya kak,chimmy koya kak,,
92,2020,Chimmy dan rj,chimmy rj,,
93,2020,Rj dan fan,rj fan,,
94,2020,Shooky dan rj,shooky rj,,
95,2020,Cimi sama koya,cimi koya,,
96,2020,Koya dan kuki,koya kuk,,
97,2020,Karakrer koya dan van,karakrer koya van,,
98,2020,RM SAMA KUKI,rm kuk,,
99,2020,RJ sama CHIMMY,rj chimmy,,
100,2020,cimi dan koya kak pliss,cimi koya kak plis,,
101,2020,rj dan tata,rj tata,,
102,2020,kk rj sama chimmy,rj chimmy,,
103,2020,Koya dan shooky,koya shooky,,
104,2020,Chimii kak,chimi kak,,
105,2020,RJ dan COOKY dong,rj cooky,,
106,2020,Chimi kak,chimi kak,,
107,2020,mevah ya warnanya wkwkwk @robertussetiadi,mevah ya warna wkwkwk,,
108,2020,Koya sama RJ,koya rj,,
109,2020,Bias ku taekook,bias ku taekook,,
110,2020,Bikin Chimi dan koya kak,bikin chimi koya kak,,
111,2020,Cimi  dongkak,cimi dongkak,,
112,2020,Karakter koya dan chimmy kak plz,karakter koya chimmy kak plz,,
113,2020,Ya ampun. Mau sama yg bikin Tata,ya ampun bikin tata,,
114,2020,Karakter blackpink  kak,karakter blackpink kak,,
115,2020,Bikin cimmy dan koya kak..??,bikin cimmy koya kak,,
116,2020,Sehingga tgl. 20 Juni ibu bs mengolah nilai.nya sebelum rapat pleno tgl. 21 Juni..,tanggal juni olah nilai rapat pleno tanggal juni,,
117,2020,Rj chimmy sohoky,rj chimmy sohoky,,
118,2020,kakak aku ARMY,kakak army,,
119,2020,Yang cimmy,cimmy,,
120,2020,Pls bikin chimmy,pls bikin chimmy,,
121,2020,Kak..bikin yang Mang sama Chimmy kk,kak bikin chimmy,,
122,2020,"Humorku sebatas ""cooky botak, tata botak"" ?",humor batas cooky botak tata botak,,
123,2020,bikin hot chocolate army lagi dunk @siscakohl @aliyyah.kohl ?,bikin hot chocolate army kohl,,
124,2020,Koya dan RJ kak plis,koya rj kak plis,,
125,2020,Kak buat (koya dan chimmy),kak koya chimmy,,
126,2020,Kak RJ,kak rj,,
