index,Tahun,Comments,preprocessed
1,2020,"Ngga minta macem macem cuma mau didoain biar bisa jadi kaya abang , AAAMIIINN",didoain biar kayak abang amin
2,2020,BANG WILL..PENGEN HP AIPON NYA DONG BUAT BELAJAR JADI CONTEN CREATOR 🙏🥲,bang wil pengin hp aipon nya ajar conten creator lipat tangan wajah senyum dengan air mata
3,2020,   aku udah suscaraibe follow tiktok tapi belum di ajak borong,suscaraibe follow tiktok ajak borong
4,2020,Ka beliin aku iPhone dong buat belajar bentar lagi ujian 🥺😁😁😁,kak belikan iphone ajar bentar uji wajah memelas wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia
5,2020,"Semoga Tuhan memberkati
Melimpahimu dengan kasih dan anugerah-Nya
Perbuatan baik yang kau lakukan
Sungguhlah membuat orang lain turut berbahagia
Benarkah kata orang tua
Rantai kebaikan akan selalu terulang
Jika kau berbuat baik
Kau juga akan mendapat limpahan hal yang baik",moga tuhan kati limpah kasih anugerah buat kau laku sungguh orang bahagia orang tua rantai baik ulang kau buat kau limpah
6,2020,"sudah banyak kita membaca
tapi semua terasa sirna
sudah banyak kita mengerti
tapi sedikit yang kita pahami
kemilauan harta melimpah ruah
justru hati kian gelisah
hanya orang suka sedekah
hidup jadi makin barokah
harta hanyalah titipan pada saatnya pasti dikembalikan
mengapa tidak dikeluarkan
agar hidup terselamatkan
sudah saatnya kita peduli dengan orang disekitar
Banyak orang disekitar kita yang memerlukan bantuan kita.kalau bukan kita siapa lagi?maka mulailah bergerak untuk mendatangi panti-panti asuhan yang terdekat dirumah kita dan sedikit demi sedikit kita sisihkan harta kita untuk membantu mereka.",baca sirna erti paham kemilauan harta limpah ruah hati kian gelisah orang suka sedekah hidup barokah harta titip kembali keluar hidup selamat peduli orang sekitar orang sekitar bantu kitakalau gerak pantipanti asuh dekat rumah sisih harta bantu
7,2020,❤️❤️❤️❤️❤️❤️❤️❤️❤️hati anda seperti malaikat  ,hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati malaikat
8,2020,bang wil ajakin maen mesin capit dongg  ,bang wil ajak main mesin capit
9,2020,"  semangat ya kak 🥰,aku selalu mendukung mu kak",semangat ya kak wajah senyum dengan hati dukung mu kak
10,2020,  ko Willy baca DM please ada yang menarik .,willy baca dm please tarik
11,2020,  ko Willy baca DM please,willy baca dm please
12,2020,"Will.. ganti kostum dong, pkek kostum anak sekolahan pasti seru",wil ganti kostum pakai kostum anak sekolah seru
13,2020,Mak willy saya minta tlg sebesar besarnya saya sudah span coment d TikTok dan sudah dm ga ada respond dr Kaka 🙏😭 saya minta sumbangan sedikit buat tambahan biaya rumah sakit ayah saya yg hari ini akan cuci darah seikhlasnya saja kk,mak willy tolong besar span komentar tiktok dm respond kakak lipat tangan wajah menang keras sumbang tambah biaya rumah sakit ayah cuci darah ikhlas
14,2020,Cek DM kak (urgent) 🙏🏻,cek dm kak urgent lipat tangan warna kulit cerah
15,2020,Baca dm ku dong bang:),baca dm ku bang
16,2020,Panjang umur bahagia selalu,umur bahagia
